u,v,weight,max_capacity,time,damage
2,277,0.03,9999999,0.1,0
267,33,0.13,9999999,0.8,0
51,280,0.18,9999999,0.9,0
186,262,0.22,9999999,1.0,0
235,275,0.29,9999999,1.2,0
263,4,0.12,9999999,0.6,0
122,261,0.39,9999999,2.1,0
274,160,0.32,9999999,0.7,0
81,278,0.42,9999999,2.0,0
260,128,0.4,9999999,1.6,0
256,264,0.39,9999999,1.9,0
45,268,0.41,9999999,1.9,0
188,248,0.49,9999999,1.7,0
152,278,0.4,9999999,1.8,0
270,132,0.73,9999999,3.5,0
261,172,0.52,9999999,2.0,0
176,63,0.73,9999999,3.1,0
269,228,0.63,9999999,3.7,0
131,267,0.66,9999999,3.0,0
55,29,0.58,9999999,3.5,0
131,33,0.67,9999999,2.8,0
196,65,1.1,9999999,4.0,0
13,265,0.71,9999999,2.6,0
139,55,0.65,9999999,1.8,0
266,141,0.97,9999999,4.7,0
95,40,0.83,9999999,3.9,0
260,127,0.8,9999999,2.8,0
223,269,0.82,9999999,4.6,0
20,260,0.82,9999999,3.3,0
152,81,0.82,9999999,3.7,0
30,155,0.96,9999999,3.3,0
20,127,0.8,9999999,2.9,0
17,280,0.86,9999999,2.9,0
263,137,0.73,9999999,3.2,0
172,122,0.9,9999999,4.4,0
281,213,0.87,9999999,4.8,0
268,61,0.88,9999999,3.1,0
271,125,8.89,9999999,14.3,0
27,125,8.86,9999999,14.2,0
225,269,1.39,9999999,6.2,0
11,127,0.88,9999999,3.4,0
47,175,0.98,9999999,4.8,0
73,241,1.12,9999999,3.6,0
137,4,0.78,9999999,4.4,0
148,35,1.71,9999999,4.2,0
240,272,0.68,9999999,2.1,0
64,264,1.18,9999999,6.2,0
260,115,1.04,9999999,2.8,0
81,174,1.05,9999999,4.2,0
38,203,10.78,9999999,20.6,0
264,257,0.97,9999999,4.8,0
143,127,0.97,9999999,3.1,0
258,195,0.94,9999999,4.0,0
256,257,1.35,9999999,6.2,0
51,17,0.95,9999999,2.9,0
200,189,1.47,9999999,7.1,0
107,129,1.11,9999999,4.8,0
60,151,1.04,9999999,3.4,0
